冈布奥号,25,25,23,22
大和丸,20,35,25,15
恶魔丸,33,32,15,15
武藏丸,30,15,20,30
加勒比号,30,20,20,25
圆桌骑士,16,35,28,16
路西法之剑,25,20,30,22
宇宙大帝,30,30,17,20
普罗米修斯,18,24,30,25
#死星,25,15,35,25
宇宙隼,20,25,20,32
钢铁之拳,30,20,30,15
奇美拉之翼,22,20,23,30
斜眼暴君,40,15,25,15
阴影之龙,35,20,15,25
达拉蒙特斯,20,20,22,35
科技球,25,30,20,20
永恒之塔,24,24,25,24
#蒙特祖玛,30,16,16,35
阿拉斯托,25,20,27,25
#走私者号,30,20,30,17
联盟号,22,30,25,20
地精号,30,25,25,17
元素大陆,25,24,18,30
冰封王座,22,30,20,25
永恒王座,18,30,24,25
夜翼,20,22,30,25
秘法蜗牛,22,30,15,30
环游者,20,22,20,35
浮游,30,17,25,25
王虫,20,27,30,20
#UFO,30,22,25,20
虚空鳐,25,25,17,30
#贝希摩斯之角,25,32,20,20
#贝希摩斯之翼,20,20,32,25
#贝希摩斯之爪,32,20,25,20
#贝希摩斯之心,20,25,20,32
#贝希摩斯,25,25,25,25
#立方体,25,24,24,24
#赫拉号,30,20,30,20
轨道卫星,25,25,30,17
六重天,20,20,30,27
伊甸一号,20,29,26,22
伊甸二号,20,29,26,22
伊甸三号,20,29,26,22
维京战机,24,28,20,25
